,Name,Simbad_ID,B_G,ΔB_G,Tag,Bdescription,Year,Month,Article,Limit,SpecType,V_mag,B-V,B_mag,vsini_kms,Bestim_G,Mass_Ms,Radius_Rs,Age_Gy,Teff_K,period_s,esti_rotation_s-1
990,tau Boo,* tau Boo,1.95,,BMEAN,average unsigned photospheric magnetic flux ,2015.0,5.0,Mengel 2016,max,F,4.489999771118164,0.49000024795532227,4.980000019073486,17.860000610351562,1.4130434782608696,1.32,1.43,2.52,6466.27,350313.6233662687,2.854584958445806e-06
994,HD 179949,HD 179949,3.17,,BMEAN,average unsigned photospheric magnetic flux ,2009.0,,Fares 2012,max,F,6.236999988555908,0.5349998474121094,6.771999835968018,4.195000171661377,2.2971014492753623,1.21,,2.05,6168.0,,
995,HD 189733,HD 189733,32.4,,BMEAN,average unsigned photospheric magnetic flux ,2008.0,,Fares 2010,max,K,7.6479997634887695,0.9300003051757812,8.57800006866455,0.0,23.47826086956522,,0.77,0.6,,,0.0
1107,HD 130322,HD 130322,1.82,,BDM,dipole field strength,,,Fares 2013,no,K,8.039999961853027,0.7799997329711914,8.819999694824219,0.0,1.318840579710145,0.84,,,5308.0,,
1120,GJ 674,CD-46 11540,119.0,,BDM,dipole field strength,,,Hébrard 2019,no,M,9.406999588012695,1.565999984741211,10.972999572753906,2.5899999141693115,86.23188405797102,0.35,,0.55,3600.0,,
1168,HD 1237,HD   1237,90.0,10.0,BET,maximum magnetic field component at lat O°,2012.0,,Alvarado-Gomez 2015,max,G,6.578000068664551,0.7569999694824219,7.335000038146973,5.065000057220459,90.0,0.9,0.9,8.77,5540.0,777437.5511094786,1.2862769473546823e-06
1170,HD 147513,HD 147513,14.39,,BDEEP,mean magnetic field in inner corona,,,Alvarado-Gomez 2016,max,G,5.375999927520752,0.6440000534057617,6.019999980926514,2.369999885559082,14.39,1.11,,0.65,5883.0,,
1173,V 830 tau,V* V830 Tau,300.0,50.0,BET,maximum magnetic field component at lat 0°,2015.0,1.0,Donati 2015,max,M,12.079999923706055,1.8299999237060547,13.90999984741211,31.600000381469727,300.0,1.0,2.0,,4250.0,276914.28926296445,3.6112257069203675e-06
1175,TVLM 513-46546,TVLM 513-46,3000.0,,BUNK,magnetic strength at the source of bursts,2006.0,5.0,Hallinan 2007,max,M,15.09000015258789,6.309999465942383,21.399999618530273,,3000.0,0.08,,,,,
1176,Pollux,* bet Gem,1.0,,BLONG,longitudinal magnetic field,2012.0,2.0,Auriere 2021,max,K,1.1399999856948853,1.0000001192092896,2.140000104904175,3.2899999618530273,,1.73,,,4858.0,,
1178,AU mic,HD 197481,660.0,,BPOL,Dipole component of magnetic field,2022.0,6.0,Donati 2023,no,M,8.626999855041504,1.4230003356933594,10.050000190734863,9.600000381469727,330.0,0.5,,0.022,,,
1179,55 Cancri,* rho01 Cnc,5.8,,BPOL,dipolar compnent at magnetic pole,2017.0,4.0,Folsom 2020,no,K,,,6.820000171661377,0.0,2.9,0.9,0.96,10.2,5250.0,,0.0
1181,TOI-1759,LSPM J2147+6245,14.0,3.0,BDM,dipole magnetic field according to APERO,2021.0,,Martioli 2022,no,M,,,,,10.144927536231885,0.61,0.63,5.0,3972.0,,
1197,KELT-11 b,HD  93396,,,BMEAN,,,,Pye 2019,max,G,,,,,,1.44,2.69,,5375.0,,
1199,HD 149026 b,HD 149026,2.43,,BMEAN,,,,Pye 2019,max,G,,,,,1.7608695652173916,,,2.0,6160.0,1090368.0,9.171215589599108e-07
1201,WASP-33 b,HD  15082,,,BMEAN,,,,Pye 2019,max,K,,,,,,,,,7430.0,,
1203,KELT-7 b,HD  33643,9.7,,BMEAN,,,,Pye 2019,max,F,,,,,7.028985507246377,,,1.3,6513.0,103679.99999999999,9.645061728395063e-06
1215,WASP-18 b,HD  10069,5.53,,BMEAN,,,,Pye 2019,max,F,,,,,4.007246376811595,1.46,1.29,0.63,6431.0,483839.99999999994,2.066798941798942e-06
1217,WASP-76 b,BD+01   316,1.26,,BMEAN,,,,Pye 2019,max,F,,,,,0.9130434782608696,,,,,1520640.0000000002,6.57617845117845e-07
1219,Kepler-410 A b,HD 175289,4.99,,BMEAN,,,,Pye 2019,max,F,,,,,3.6159420289855078,1.24,1.43,2.76,6304.0,453600.00000000006,2.204585537918871e-06
1221,HAT-P-11 b,BD+47  2936,7.94,,BMEAN,,,,Pye 2019,max,K,,,,,5.753623188405798,0.81,0.74,6.5,4653.0,1728864.0,5.78414496455476e-07
1223,WASP-74 b,BD-01  3943,,,BMEAN,,,,Pye 2019,max,F,,,,,,1.48,1.64,2.0,5970.0,,
1225,WASP-69 b,BD-05  5432,6.6,,BMEAN,,,,Pye 2019,max,,,,,,4.782608695652174,0.83,0.81,2.0,4700.0,1993248.0,5.016937179919408e-07
1227,Kepler-93 b,BD+38  3583,,,BMEAN,,,,Pye 2019,max,G,,,,,,0.91,0.92,6.6,5669.0,,
1229,Kepler-68 b,BD+48  2893,,,BMEAN,,,,Pye 2019,max,G,,,,,,1.07,1.24,6.3,5793.0,,
1233,WASP-79 b,CD-30  1812,,,BMEAN,,,,Pye 2019,max,F,,,,,,,,,,,
1235,WASP-127 b,BD-03  2978,,,BMEAN,,,,Pye 2019,max,G,,,,,,1.05,1.35,11.41,5828.01,,
1237,HIP 116454 b,BD-00  4534,,,BMEAN,,,,Pye 2019,max,K,,,,,,0.78,0.72,,5089.0,,
1239,WASP-62 b,CPD-64   484,,,BMEAN,,,,Pye 2019,max,,,,,,,,,,,,
1241,WASP-101 b,CPD-23  1329,,,BMEAN,,,,Pye 2019,max,F,,,,,,1.34,1.29,0.9,6400.0,,
1249,HAT-P-1 b,BD+37  4734B,,,BMEAN,,,,Pye 2019,max,G,,,,,,,,3.6,,,
1251,WASP-121 b,CD-38  3220,,,BMEAN,,,,Pye 2019,max,F,,,,,,1.35,1.46,,6459.0,,
1259,WASP-13 b,BD+34  1976,,,BMEAN,,,,Pye 2019,max,G,,,,,,,,,,,
1263,Kepler-126 d,Kepler-126,,,BMEAN,,,,Pye 2019,max,F,,,,,,1.2,1.45,,6221.0,,
1265,HAT-P-17 b,HAT-P-17,,,BMEAN,,,,Pye 2019,max,G,,,,,,,,7.8,,,
1267,HAT-P-13 b,HAT-P-13,,,BMEAN,,,,Pye 2019,max,G,,,,,,,,5.0,,,
1271,KELT-1 b,KELT-1,,,BMEAN,,,,Pye 2019,max,F,,,,,,1.32,1.46,1.75,6518.0,,
1273,Kepler-25 b,Kepler-25,1.82,,BMEAN,,,,Pye 2019,max,F,,,,,1.318840579710145,1.19,1.31,11.0,,1999900.8,5.00024801230141e-07
1277,HAT-P-41 b,HAT-P-41,,,BMEAN,,,,Pye 2019,max,,,,,,,1.28,1.19,2.2,6479.0,,
1279,Kepler-10 c,Kepler-10,,,BMEAN,,,,Pye 2019,max,G,,,,,,0.91,1.07,10.6,5708.0,,
1283,Kepler-538 b,Kepler-538,,,BMEAN,,,,Pye 2019,max,G,,,,,,0.88,0.85,5.3,5564.0,,
1285,WASP-63 b,CD-38  2551,,,BMEAN,,,,Pye 2019,max,G,,,,,,1.28,1.86,,5550.0,,
1287,HAT-P-32 b,HAT-P-32,,,BMEAN,,,,Pye 2019,max,,,,,,,,1.22,3.8,6269.0,,
1289,XO-1 b,BD+28  2507,,,BMEAN,,,,Pye 2019,max,G,,,,,,,,4.5,,,
1291,WASP-29 b,CD-40 15273,,,BMEAN,,,,Pye 2019,max,K,,,,,,0.82,0.81,15.0,4800.0,,
1295,Kepler-127 d,Kepler-127,,,BMEAN,,,,Pye 2019,max,G,,,,,,1.24,1.36,,6106.0,874108.8,1.144022345959679e-06
1297,Kepler-102 d,Kepler-102,6.26,,BMEAN,,,,Pye 2019,max,K,,,,,4.536231884057972,0.73,0.76,1.41,4812.0,2295820.8,4.3557406571105203e-07
1301,Kepler-448 b,Kepler-448,11.3,,BMEAN,,,,Pye 2019,max,F,,,,,8.188405797101451,,1.5,1.5,6820.0,107568.00000000003,9.296445039416925e-06
1303,Kepler-454 b,Kepler-454,,,BMEAN,,,,Pye 2019,max,,,,,,,1.06,1.07,5.25,5767.0,,
1307,WASP-107 b,WASP-107,,,BMEAN,,,,Pye 2019,max,K,,,,,,0.69,0.66,,4430.0,,
1309,WASP-17 b,CD-27 10695,,,BMEAN,,,,Pye 2019,max,F,,,,,,1.35,1.57,3.0,6548.0,,
1311,WASP-12 b,WASP-12,,,BMEAN,,,,Pye 2019,max,G,,,,,,1.43,1.66,1.7,6360.0,,
1313,WASP-31 b,WASP-31,,,BMEAN,,,,Pye 2019,max,F,,,,,,1.16,1.25,,6302.0,,
1315,HAT-P-26 b,HAT-P-26,,,BMEAN,,,,Pye 2019,max,K,,,,,,0.85,0.86,9.0,5061.9,,
1317,HAT-P-3 b,HAT-P-3,,,BMEAN,,,,Pye 2019,max,K,,,,,,0.94,0.82,1.6,5185.0,,
1319,WASP-80 b,WASP-80,47.9,,BMEAN,,,,Pye 2019,max,K,,,,,34.710144927536234,,,,,734400.0,1.3616557734204792e-06
1321,WASP-52 b,WASP-52,9.63,,BMEAN,,,,Pye 2019,max,K,,,,,6.978260869565219,0.87,0.79,0.4,5000.0,1019520.0,9.808537350910232e-07
1323,WASP-103 b,WASP-103,,,BMEAN,,,,Pye 2019,max,F,,,,,,1.22,1.44,4.0,6110.0,,
1327,Kepler-19 b,Kepler-19,,,BMEAN,,,,Pye 2019,max,F,,,,,,0.89,0.81,1.9,5543.0,,
1329,Kepler-22 b,Kepler-22,,,BMEAN,,,,Pye 2019,max,G,,,,,,0.8,0.89,,5516.0,,
1331,WASP-39 b,WASP-39,,,BMEAN,,,,Pye 2019,max,,,,,,,,0.92,,,,
1333,Kepler-14 b,Kepler-14,,,BMEAN,,,,Pye 2019,max,F,,,,,,1.39,2.08,2.2,6378.0,,
1335,K2-3  b,K2-3,11.7,,BMEAN,,,,Pye 2019,max,M,,,,,8.478260869565217,,0.37,1.0,,3309120.0,3.021951455371821e-07
1341,GJ 3470 b,LP  424-4,29.4,,BMEAN,,,,Pye 2019,max,M,,,,,21.304347826086957,0.5,0.5,1.6,3552.0,1788479.9999999998,5.591340132402935e-07
1343,WASP-19 b,WASP-19,8.52,,BMEAN,,,,Pye 2019,max,G,,,,,6.173913043478261,0.97,1.03,11.5,5503.0,1016063.9999999999,9.841899722852105e-07
1345,WASP-6 b,WASP-6,5.07,,BMEAN,,,,Pye 2019,max,G,,,,,3.673913043478261,0.55,0.73,11.0,5450.0,2056320.0000000005,4.863056333644568e-07
1347,WASP-43 b,WASP-43,14.5,,BMEAN,,,,Pye 2019,max,K,,,,,10.507246376811596,0.69,0.65,0.4,4500.0,1347840.0,7.419278252611585e-07
1351,WASP-67 b,WASP-67,5.21,,BMEAN,,,,Pye 2019,max,K,,,,,3.77536231884058,0.91,0.88,,5200.0,2160000.0,4.6296296296296297e-07
1357,HAT-P-38 b,HAT-P-38,,,BMEAN,,,,Pye 2019,max,G,,,,,,0.89,0.92,10.1,5330.0,,
1359,CoRoT-2 b,CoRoT-2,,,BMEAN,,,,Pye 2019,max,G,,,,,,0.97,0.9,,5625.0,,
1361,Kepler-104 d,Kepler-104,,,BMEAN,,,,Pye 2019,max,G,,,,,,0.91,1.0,,5979.0,,
1363,WASP-4 b,WASP-4,,,BMEAN,,,,Pye 2019,max,G,,,,,,0.97,0.89,,5504.0,,
1365,HAT-P-18 b,HAT-P-18,,,BMEAN,,,,Pye 2019,max,K,,,,,,,,12.4,,,
1367,HAT-P-12 b,HAT-P-12,,,BMEAN,,,,Pye 2019,max,K,,,,,,,,2.5,,,
1369,Kepler-94 b,Kepler-94,,,BMEAN,,,,Pye 2019,max,M,,,,,,,0.75,1.41,4728.0,,
1371,Kepler-138 b,Kepler-138,25.8,,BMEAN,,,,Pye 2019,max,M,,,,,18.695652173913047,0.55,0.58,,,1675641.5999999999,5.967863294871649e-07
1377,HATS-7 b,HATS-7,,,BMEAN,,,,Pye 2019,max,K,,,,,,0.85,0.81,7.8,4985.0,,
1381,GJ 1132 b,L  320-124,248.0,,BMEAN,,,,Pye 2019,max,M,,,,,179.71014492753625,0.18,0.21,5.0,3270.0,10566720.0,9.463674631295236e-08
1383,Kepler-205 c,Kepler-205,,,BMEAN,,,,Pye 2019,max,M,,,,,,0.51,0.48,,3834.0,,
1385,CoRoT-1 b,CoRoT-1,,,BMEAN,,,,Pye 2019,max,G,,,,,,1.22,1.23,,6298.0,,
1387,K2-55 b,K2-55,,,BMEAN,,,,Pye 2019,max,K,,,,,,0.69,0.72,,4299.98,,
1399,Kepler-482 b,Kepler-482,,,BMEAN,,,,Pye 2019,max,K,,,,,,0.65,0.67,6.03,4616.0,,
1401,Kepler-9 d,Kepler-9,4.57,,BMEAN,,,,Pye 2019,max,G,,,,,3.311594202898551,1.03,0.96,2.0,5779.0,1446854.4,6.911545487921936e-07
1407,Kepler-218 d,Kepler-218,,,BMEAN,,,,Pye 2019,max,G,,,,,,0.97,1.11,,5502.0,,
1413,Kepler-62 e,Kepler-62,,,BMEAN,,,,Pye 2019,max,G,,,,,,0.79,0.73,7.0,4842.0,,
1415,Kepler-79 d,Kepler-79,,,BMEAN,,,,Pye 2019,max,F,,,,,,1.24,1.35,3.44,6298.14,,
1417,Kepler-504 b,Kepler-504,76.2,,BMEAN,,,,Pye 2019,max,M,,,,,55.217391304347835,0.41,0.42,4.17,3600.0,4004726.4,2.497049486326956e-07
1419,GJ 1214 b,G 139-21,452.0,,BMEAN,,,,Pye 2019,max,M,,,,,327.536231884058,0.16,0.18,6.0,3170.0,10800000.0,9.259259259259259e-08
1421,Kepler-125 b,Kepler-125,36.7,,BMEAN,,,,Pye 2019,max,M,,,,,26.59420289855073,0.53,0.51,,3808.0,1255910.4,7.962351454371268e-07
1423,Kepler-786 b,Kepler-786,5.09,,BMEAN,,,,Pye 2019,max,K,,,,,3.6884057971014497,0.77,0.72,2.51,4744.0,2959804.8,3.378601183429394e-07
1425,Kepler-51 b,Kepler-51,8.19,,BMEAN,,,,Pye 2019,max,G,,,,,5.934782608695652,1.03,0.85,0.3,5770.0,710380.7999999999,1.4076957034874817e-06
1429,Kepler-61 b,Kepler-61,11.1,,BMEAN,,,,Pye 2019,max,M,,,,,8.043478260869566,0.65,0.7,1.0,4148.0,3030739.2,3.2995250795581485e-07
1431,Kepler-505 b,Kepler-505,,,BMEAN,,,,Pye 2019,max,M,,,,,,0.62,0.65,3.16,3861.0,,
1433,Kepler-737 b,Kepler-737,30.4,,BMEAN,,,,Pye 2019,max,M,,,,,22.02898550724638,0.47,0.46,3.89,3755.0,2141942.4,4.668659624086997e-07
1435,Kepler-249 d,Kepler-249,,,BMEAN,,,,Pye 2019,max,M,,,,,,0.51,0.51,,3635.0,3146860.8,3.1777700494410177e-07
1437,Kepler-236 c,Kepler-236,32.9,,BMEAN,,,,Pye 2019,max,M,,,,,23.84057971014493,0.54,0.51,,3750.0,1333411.2,7.499562025577706e-07
1439,Kepler-49 b,Kepler-49,30.1,,BMEAN,,,,Pye 2019,max,M,,,,,21.811594202898554,0.63,0.6,,4079.0,1599004.8,6.253889919529947e-07
1443,Kepler-705 b,Kepler-705,31.7,,BMEAN,,,,Pye 2019,max,M,,,,,22.971014492753625,0.53,0.5,3.89,3674.0,1745798.4,5.72803824313277e-07
1447,Kepler-26 b,Kepler-26,17.8,,BMEAN,,,,Pye 2019,max,M,,,,,12.898550724637683,0.7,0.46,,4486.0,1548115.2,6.459467615846676e-07
1455,Kepler-32 b,Kepler-32,14.6,,BMEAN,,,,Pye 2019,max,M,,,,,10.579710144927537,0.51,0.51,,3787.0,3129408.0,3.1954925660060944e-07
1465,K2-33 b,K2-33,,,BMEAN,,,,Pye 2019,max,D,,,,,,0.56,1.05,0.009,3540.0,,
1481,KOI-555.02,Kepler-598,,,BMEAN,,,,Pye 2019,max,,,,,,,0.9,0.9,7.59,5245.0,,
