;name;planet_mass;planet_radius;star_planet_distance;star_age;spectral_type;earth_distance;pow_received_kinetic;pow_received_magnetic;freq_max_planet;pow_received_spi;freq_max_star
1391;NLTT 41135 b;33.7;1.13;0.024;5200000000.0;M5.1;22.7;0.10600036948076304;15910413.103569597;1087.1094484698208;507503928.8539972;340.8123450986034
257;GJ 896A b;2.26;1.1407528152770807;0.41783299999999995;5200000000.0;M3.5Ve;6.2565;0.48645017835941756;12185245.536018146;73.37658895871368;1224410.2508909216;7302.387025972863
1598;TOI-519 b;0.525;1.059;0.0154912;5200000000.0;M3.5;115.93;0.08068798223480599;11863702.215736661;7.540800464551425;3909449.5798617415;228.83479976455055
1836;WISE J0720-0846;62.0;0.9980219930224865;0.25999999999999995;5200000000.0;M;6.8;0.03440106436545061;10908594.18543222;1490.0261418796931;25386581.89111649;6402.6305617530215
1316;L 363-38 b;4.67;0.9668608049222891;0.04752;8070000000.0;M5;10.232;0.21571385841887364;6615435.925812201;109.45769006931319;22943876.10556528;315.6006996853123
1595;TOI-4860 b;0.67;0.756;0.017630499999999997;5200000000.0;M4.5;80.0;0.0506165711139878;6188288.691230173;11.322678003839759;3110908.4793530414;225.23324202765968
1331;LHS 1610 b;52.0;0.5523802934885782;0.035502780000000005;5200000000.0;M5V;9.9;0.12613173286929288;4689842.8648846205;435.25641065256366;51384319.09017646;397.2581923897604
1599;TOI-5205 b;1.08;1.035;0.019502000000000002;5200000000.0;M4.0;86.865;0.06567673692503878;4281238.3688491685;25.43035238143225;5268095.209536507;206.665589778362
194;GJ 3512 b;0.46;1.0226237697255238;0.18872000000000003;5200000000.0;dM5.5;9.489;0.23584385670782457;4006929.628142487;6.25335431251477;96505.58236501292;2596.4042759014624
71;CFHTWIR-Oph 98 b;7.8;1.86;200.0;500000000.0;M9.75;137.0;4.578655825402386e-05;3896395.9368449454;1269.437893260476;9012.347808981465;5488284.245363726
1336;LHS 2397a B;64.0;1.4616292833677778;2.0085;1500000000.0;M8V;14.3905;0.017706290158307676;2167100.0634642895;4514.7253176335735;4881290.023296654;20043.59805640041
1565;TOI-263 b;61.6;0.91;0.0096334;4750000000.0;M3.5V;279.0;0.009494528146010874;1717482.0332531515;1285.2352584809719;85955469.78189583;256.8037229678967
1323;Lalande 21185 d;3.89;1.1620206617063567;0.5142;5200000000.0;M2+V;2.55;1.8858033772477045;1020080.5317669311;143.68904095817527;1474686.4140091513;993.9360118685287
1406;Oph 11 b;21.0;0.8851703678535369;243.0;500000000.0;M9+M9.5;145.0;4.234541707728554e-08;988661.8004978142;1143.7355391192355;6010.64128807383;1881276.1953414252
1807;WASP-80 b;0.554;0.952;0.032178;5200000000.0;K7V-M0V;60.0;0.16003216178990137;267009.74716654356;9.388266015786705;257996.99221264845;97.16231626225004
188;GJ 3341 b;0.35717;0.6883356937130937;0.06140999999999999;5200000000.0;M2;23.1;0.15870466197149782;170604.10712582493;5.369301503007096;53217.67207583745;172.12795168952542
1322;Lalande 21185 c;13.6;1.390767408121359;2.5578;5200000000.0;M2+V;2.55;0.2715321415728782;162672.99934697163;669.0441784778875;1094994.264309085;993.9360118685287
768;HD 41004 B b;18.4;1.06;0.016673399999999998;1560000000.0;M;43.03;1.2900360300406335;154646.89961016885;872.6990359390845;26090765.628987808;51.72719042434577
346;HATS-71A b;0.45;1.08;0.03946;5200000000.0;M3;140.68;0.027041888191626628;105989.25049707812;5.180196973099506;31614.046086525483;173.67128304404642
1577;TOI-4184 b;6.6;0.2168;0.0336;6700000000.0;M5.5;69.2;0.000930061548552627;61250.26783277089;11.653142046973517;26352.34162412749;270.8518588788158
576;HD 189733 b;1.138;1.138;0.031;600000000.0;K2V;19.3;213.10712364059427;51089.128580706296;81.1513952321201;630836.9594720377;65.72148323375578
156;GJ 179 b;0.7391;1.3871861410637683;1.9039000000000001;5200000000.0;M2V;12.3;0.07085116058350993;32649.23117881195;6.985017243053842;2742.1691384432206;831.6607446246875
1382;NGTS-1 b;0.812;1.33;0.0320784;5200000000.0;M0.5;224.0;0.018832754358573636;28946.375023476423;11.51122127558929;40282.8716791625;82.71707406445654
970;HS Psc b;1.46;1.056931990530184;0.031755;500000000.0;K5;37.667;49.19819735628615;16403.67606875;119.64356242899368;186511.88321373655;105.22623052105537
1426;Qatar-9 b;1.19;1.009;0.0234;7500000000.0;K5V;211.4;0.016377223258256093;10918.404859439368;23.925140878895753;79494.86777509298;32.860533232656394
1600;TOI-530 b;0.4;0.83;0.052;5200000000.0;M0.5V;147.7;0.010941801634082697;7389.441966986029;6.274788557734369;3436.8990538671633;134.9099440389854
1578;TOI-4201 b;2.589;1.133;0.036672090000000004;5200000000.0;M1.0;187.5;0.00924062620077132;7333.324344596078;86.32148951178198;80349.44765312901;78.78379988762677
1419;Qatar-2 b;2.494;1.254;0.02153;5000000000.0;K;182.32;0.05149619917391522;6470.691459246166;91.6354393336541;263550.9366043639;22.498294344924286
812;HD 63454 b;0.39;1.06;0.03536279999999999;1000000000.0;K3Vk:;35.8;27.00153062639373;4696.156640512126;8.239713657829915;15691.637560400179;24.659622592729317
252;GJ 876 c;0.698;0.8435322943757062;0.1005;2500000000.0;M3.5V;4.7;15.229006811000465;3955.8499679760553;18.443281876011472;7193.5897325832075;101.42204202740088
313;HAT-P-54 b;0.76;0.944;0.03812342;3900000000.0;K7;135.8;0.0370827290482807;3608.1533101807263;17.400232225750752;12955.337934932142;48.460878302503936
1466;TOI-1130 c;1.02474;1.1883;0.068623713;8199999999.999999;K;58.26;0.03643627793616449;3229.1432208472957;18.33797240453426;15257.040020790477;38.812206819602075
364;HD 103720 b;0.62;0.9189782323319721;0.0455172;3800000000.0;K1IV/V;41.6;0.4501092917172848;3015.194911852332;13.062987334764605;20167.33861662846;19.530317655745506
289;HAT-P-20 b;7.246;0.867;0.0355585;6700000000.0;K3V;70.0;0.025797433352969468;2924.8268648467683;153.6908832980145;218193.42764522444;20.601868223224685
251;GJ 876 b;3.6;1.0707419003244634;0.21357199999999998;2500000000.0;M3.5V;4.7;5.4848527490928;2922.335562431239;164.7537155827577;47471.49953459808;101.42204202740088
1260;Kepler-45 b;0.505;0.96;0.026699999999999998;500000000.0;M1V;333.0;0.8470575712093881;2839.6464459457848;25.112590518783787;3232.285857060885;220.62058112644502
477;HD 143105 b;1.21;1.416723128275769;0.035247;5200000000.0;5F;48.7;1.9525747205595139;2080.817258228971;25.584192609249016;81748.30507230222;6.512187558151191
1580;TOI-431 c;2.84;1.0716256741247492;0.052;5200000000.0;K3+Vk:;32.61;0.22470573548130676;1594.2300710437598;90.59135672496481;98386.5291338622;14.679190976550501
955;HIP 79431 b;2.1;1.0351502237647852;0.2556;5200000000.0;M3V;14.4;0.15305055455805103;1327.0000515358765;60.975125432380715;3466.8489613677493;233.39348062989558
72;Cha Ha 8 b;25.0;1.3405932795710815;0.4182;500000000.0;M6.5;196.76;0.006888102140796475;1185.6072738904618;2761.163498972951;10414.607284994614;3143.3307461337104
164;GJ 229 B;35.0;1.5851530749668277;18.85001;5200000000.0;M1V;5.757;0.006964384362895467;1138.2576360677185;2015.4048541664783;29761.644862832887;770.8075194082469
1418;Qatar-1 b;1.294;1.143;0.02332;5200000000.0;K;187.0;0.05280203171412103;1095.395354492886;34.05421149815239;37392.95467750094;9.975896635533644
735;HD 330075 b;0.62;1.06;0.0382707;6210000000.0;G5;50.2;0.2774618556754025;1048.5541621589334;9.845368760951985;18826.431371755214;5.483462154050963
358;HD 102195 b;0.46;0.9284127861345679;0.042140000000000004;2400000000.0;K0V;28.98;3.7631372042407065;912.3375438922202;10.098960265428968;11702.9014706396;7.872971183720509
291;HAT-P-22 b;2.147;1.08;0.0407376;12400000000.0;G5;82.0;0.028994909845284328;899.6161643294284;41.58008245761708;39779.5241891381;9.403358902728321
1066;K2-31 Ab;1.774;1.06;0.022;5200000000.0;G7V;110.527;0.2153422412414177;823.6391309718638;50.603465194258405;72923.56236103736;5.715435827231722
1849;XO-3 b;11.79;1.217;0.033596;2820000000.0;F5V;260.0;0.04630035830798519;735.508862030119;598.198914890134;87646.7550992033;50.19930317562821
176;GJ 317 b;1.7528;1.3209111323703195;1.07043;5200000000.0;M3.5V;15.1;0.0426236649216903;718.3313942657722;54.77171818852172;2424.537353161312;162.2752672438414
1451;tau Boo A b;5.84;1.06;0.0423798;2520000000.0;F7 V;15.6;9.488583630829606;702.0395309640983;261.7118835670105;346763.7660743358;5.298480001734902
849;HD 75289 b;0.47;1.03;0.0450294;4960000000.0;F9VFe+0.3;28.94;1.8131290434111849;668.9661708828062;6.504860225778417;10138.081872551846;4.292263065213869
921;HIP 12961 b;0.35;0.6849546711018344;0.1092;5200000000.0;K5V;23.0;0.19671461141040555;645.2015861040574;5.246573058688406;634.9888238183247;53.309556516621114
871;HD 83443 b;0.402;1.04;0.0401128;2940000000.0;K0/1V+G(III);43.54;2.2703875198011927;624.4321741523108;5.612196253996554;5283.45536713564;6.632848515104256
627;HD 209458 b;0.69;1.38;0.047080746;4000000000.0;F9V;47.0;1.7499304450777329;624.040434409755;6.291439920913722;6537.870135551526;6.005186429079586
1427;QZ Ser b;0.63;1.1577538315950044;0.019;5200000000.0;?+K4Ve;321.5;0.05942905230935673;587.656803104928;9.28793418823824;7796.412512402831;7.0008067220995125
709;HD 2638 b;0.48;1.04;0.044;3000000000.0;K1V;53.71;0.8283912557097176;534.5786962391522;8.361042199591406;4936.959407592662;9.053416625998898
618;HD 20782 b;1.9;1.1265254053551395;0.041430000000000036;7100000000.0;G1.5V;36.02;0.2728635432814085;532.1494585888618;49.34374759471495;69033.0064005426;3.803723745554072
1680;WASP-10 b;3.16;1.08;0.0349853;800000000.0;K5V;90.0;2.8086429168472944;513.9685027211036;232.98489005600624;26531.533899975184;45.13380023566542
1758;WASP-2 A b;0.847;1.079;0.03138;5200000000.0;K1.5;144.0;0.051720253159440184;451.2575531150675;17.677103273564512;9462.689201115672;8.42987252339491
1781;WASP-52 b;0.46;1.27;0.0272;500000000.0;K2V;140.0;20.207846575659612;431.8087206374962;5.59653414787886;1237.1487873346205;19.533885294477415
566;HD 179949 b;0.92;1.05;0.044532;2049999999.9999998;F8V;27.0;8.010639798991019;426.14548084034624;32.10526165343785;21277.10283964885;6.430157464537215
860;HD 80606 b;4.1641;1.032;0.03137865099999998;7630000000.0;G8V;58.4;0.1365782572178266;352.09249615805567;109.52859004784294;103911.29904285923;3.711260952931714
1746;WASP-18 b;10.4296;1.165;0.020289863999999998;630000000.0;F6IV/V;100.0;8.00626071099753;291.6549770147818;880.1297840335247;228838.25773542258;11.21727784823054
1486;TOI-1278 b;18.5;1.09;0.093765;5200000000.0;M0V;75.47;0.010060560036599754;288.50343548669787;596.2696757442584;15119.732649195974;113.77572204486422
1072;K2-33 b;3.7;0.45;0.0409;500000000.0;dM3.0;139.8;1.1761601067096779;284.2088302302111;75.46874924968206;705.8652512247185;303.86656526828835
299;HAT-P-2 b;8.74;0.951;0.03254746;2700000000.0;F8V;118.0;0.1986672255264453;266.7304346149305;309.1367501438206;53136.97735354769;15.517664690011443
572;HD 187123 b;0.52;1.0243386690518939;0.042173999999999996;5330000000.0;G2V;50.0;0.5072631440582878;240.2406368949874;7.764120207895692;5012.447036688513;3.721250658653125
177;GJ 317 c;1.644;1.6402483579733378;4.3409;5200000000.0;M3.5V;15.1;0.015043984752343562;235.7540445997596;36.96241193326246;536.9911422382672;162.2752672438414
1139;KELT-23A b;0.938;1.323;0.03302;6400000000.0;K;125.42;0.09888650956316322;211.06696762379408;15.089119537755902;7740.037676716055;4.114727651168666
653;HD 217107 b;1.394;1.0923853107621257;0.06511088;7320000000.0;G8IV/V;19.72;0.5767362957170766;210.30665596115637;31.399713582531387;18677.386070388617;3.5355957931124355
1674;WASP-104 b;1.272;1.137;0.02918;5200000000.0;G8;143.0;0.0767039522173065;158.3587764695326;33.15595980977698;11762.111254851761;4.463941136403962
337;HATS-2 b;1.345;1.168;0.023;9700000000.0;K;360.0;0.013593047913441118;139.64180194888672;26.3261056599051;6563.78207590708;5.600772222679101
1646;TrES-1 b;0.761;1.099;0.0393;2500000000.0;K0V;157.0;0.14158745439407205;138.501549994582;20.91119736288861;2154.423130709108;13.443196026443614
1780;WASP-50 b;1.437;1.138;0.02886783;8100000000.0;G9V;230.0;0.013541843477510678;129.17990868168832;31.642201042264325;7634.333293488878;5.354150105829782
341;HATS-44 b;0.56;1.067;0.02630929;9700000000.0;K;463.0;0.005628479169923941;118.12570710878705;7.011201262163314;1187.753792936064;6.97285171136173
1666;ups And b;0.62;1.0861251049232983;0.05830026;3800000000.0;F9V;13.47;13.918918843059362;114.24092342759774;11.733808486235521;7155.481853534811;1.8733624712190846
1700;WASP-132 b;0.428;0.901;0.0659079;7200000000.0;K4V;123.17;0.010772824095769122;113.09819211768551;6.075521245022713;431.73299115671387;15.915634965576182
45;BD-10 3166 b;0.46;1.03;0.0455216;4179999999.9999995;K3.0V;66.0;0.7169018139172196;109.89147746357747;6.734443427573574;1419.9809869706623;5.21174540322369
1489;TOI-1408 b;1.69;1.5;0.04292;5200000000.0;8.00 F;139.484;0.12591850507479097;108.59729940988463;47.260497536466715;7648.897875159382;6.709937150417043
1145;KELT-7 b;1.24;1.293;0.0446;1300000000.0;2.00 F;129.0;1.964096179315843;104.7406301329904;61.196790870992785;3257.689969178042;19.675876153315773
1823;WASP-93 b;1.47;1.597;0.04211;5200000000.0;4.00 F;250.0;0.03283552462711161;103.01094422772599;30.03867095657696;3469.8520376926726;8.917705495709175
1697;WASP-12 b;1.47;1.9;0.02344;1700000000.0;G0V;432.5;0.7708839455637947;102.27687208318078;13.994356925897232;2112.4248928623992;6.775621031699325
15;55 Cnc Ab;0.84;0.9002301265496657;0.11312920300000001;10200000000.0;G8V;12.5855;0.2909318809182784;89.20338979213518;12.619876214859575;2182.8111955435147;5.157274891300478
1136;KELT-1 b;27.23;1.15;0.0244728;1750000000.0;5.00 F;263.0;0.1198263693764512;29.524572780393804;1353.150983608938;47986.26215251823;8.325550460972295
1134;KELT-16 b;2.75;1.415;0.02044;2900000000.0;F7V;365.0;0.11815493799890049;55.85718033532218;145.58494035448825;16358.400997650877;4.971124175679245
729;HD 30774 b;41.59;0.7549261511097368;0.05982;5200000000.0;G5V;41.6887;0.049376619163777634;9.353880345597213;633.3714998371292;15590.096775333368;3.8001567977189596
1709;WASP-140 b;2.44;1.44;0.0307819;1600000000.0;K0;180.0;0.3424681035502776;82.31716148526868;160.88363508276584;13627.222088287454;9.718403416076855
93;CoRoT-2 b;3.31;1.465;0.0281;5200000000.0;G7V+K9V;300.0;0.01768983779891491;41.756361152320736;144.59074577007024;13593.923568480395;4.441383953090269
328;HATS-18 b;1.98;1.337;0.01468674;4200000000.0;G;645.0;0.053440753909406405;62.04038598329171;74.16936249957439;10673.65508644442;4.311077920676108
923;HIP 14810 b;3.88;1.140737645358224;0.059325159999999995;5200000000.0;G6V;52.9;0.11060771624564258;31.67136275764633;139.9840850954808;9768.100428118067;4.538739923879311
1768;WASP-3 b;2.06;1.454;0.0313;5200000000.0;F7V;223.0;0.06664185678570658;67.14960981634725;69.75488157617441;9456.19511226007;4.953380323712592
1705;WASP-135 b;1.9;1.3;0.0243;4400000000.0;G5V;300.0;0.0353684812120877;61.56901362437326;67.74270904696147;9383.588789978983;4.444836479533826
878;HD 86081 A b;1.5;1.08;0.0367575;6210000000.0;F8V;91.0;0.12622744053718404;75.62319912170128;37.549199968287915;8831.773557218969;3.215198632149457
1716;WASP-14 b;7.341;1.281;0.032868;750000000.0;F5V;160.0;1.9016264737292083;10.871665831639973;679.1105445984277;8352.48309958304;8.839362876395054
292;HAT-P-23 b;2.09;1.368;0.0207408;4000000000.0;G0;393.0;0.06810481262040818;38.82592356445923;82.73486999706329;8325.07784579293;3.8585317736635476
1080;K2-371 b;4.71;1.16;0.0297;5200000000.0;K3V;442.813;0.0031200501297004883;38.156476558651;177.88570654299332;7954.112507999962;8.533311271370856
1626;TOI-778 b;2.8;1.374;0.0474;1950000000.0;F3V;162.0;0.3664613565830312;71.71128117911213;175.36367705826038;6054.965821808965;20.768992467030788
1673;WASP-103 b;1.49;1.528;0.01985;4000000000.0;F8V;470.0;0.11580061641988433;47.81081980410643;39.98577209036877;4880.561011542801;3.9170753928068676
496;HD 149143 b;1.33;1.05;0.0513604;7600000000.0;G3V;63.0;0.06843157794499648;53.62073391966668;28.281628323820733;4815.747647757625;3.1490056748979067
1487;TOI-1288 Ab;42.0;0.4675;0.0401544;5200000000.0;F9/G0V;114.7;0.005330414612988629;11.412831889856466;266.4188179994673;4441.523152513083;6.845834362929691